,Name,Year,Tv Certificate,Duration per episode,Genre,Ratings,Actor/Actress,Votes
1710,Secretos en el Jardín,2013–2014,,60 min ," Crime, Drama, Mystery",8.6," Francisco Pérez-Bannen, Mario Horton, Cristián Campos, Daniela Ramírez", 79
1711,The Killer's Shopping List,2022,,60 min ," Comedy, Mystery, Thriller",7.1," Kwang-Soo Lee, Seol-Hyun Kim, Park Ji-bin, Hee-kyung Jin", 178
1712,Walang hanggan,2012,TV-PG ,," Action, Crime, Drama",7.4," Coco Martin, Julia Montes, Dawn Zulueta, Richard Gomez", 149
1713,Riley Parra,2017–2018,,,"Action, Sci-Fi, Thriller",8.1," Marem Hassler, Liz Vassey, Carolyn Ratteray, Connor Trinneer", 43
1714,Cumbia Ninja,2013– ,,,"Action, Comedy, Crime",2.4," Ricardo Abarca, Brenda Asnicar, Nikolás Rincón, Natalia Reyes", 706
1715,Beyblade Burst Surge,2021,,,"Animation, Action, Adventure",8.7," Ryan Bartley, Jalen K. Cassell, Amber Connor, Jade Dennis", 51
1716,Canaan,2009,TV-14 , 23 min ," Animation, Action, Drama",6.8," Shelley Calene-Black, Hilary Haag, Miyuki Sawashiro, Maaya Sakamoto", 713
1717,Irene Huss,2007–2011,,90 min ," Crime, Drama, Thriller",6.6," Angela Kovacs, Reuben Sallmander, Lars Brandeby, Dag Malmberg", 442
1718,Powder,2010– ,,,"Crime, Thriller",8.6," Pankaj Tripathi, Shahab Khan, Geetika Tyagi, Subrat Dutta", 769
1719,November Story,2021– ,,40 min ," Crime, Mystery, Thriller",7.7," Tamannaah Bhatia, G.M. Kumar, Pasupathy, Aruldoss"," 6,712"
1720,High,2020– ,,35 min ," Crime, Drama, Thriller",8.4," Akshay Oberoi, Ranvir Shorey, Mrinmayee Godbole, Shweta Basu Prasad"," 6,899"
1721,Moordvrouw,2012–2018,,43 min ," Action, Crime, Drama",6.5," Wendy van Dijk, Thijs Römer, Achmed Akkabi, Fockeline Ouwerkerk", 511
1722,The Heiress,2018–2020,TV-14 , 30 min ," Crime, Drama, Romance",7.7," Beauty Gonzalez, Albert Martinez, Francine Diaz, Andrea Brillantes", 52
1723,Darkroom,1981–1982,,60 min ," Horror, Thriller, Fantasy",7.3," James Coburn, Helen Hunt, Rue McClanahan, Robert Webber", 314
1724,Aahat,II) (1995–2015,,55 min ," Adventure, Drama, Fantasy",7.2," Vijay Raj, Shahab Khan, Paras Singh Minhas, Jatin Sial", 881
1725,Bas Belasi,2021,,130 min ," Action, Comedy, Crime",6.8," Irem Helvacioglu, Seçkin Özdemir, Dilara Aksüyek, Bülent Düzgünoglu", 837
1726,Drug Squad: Costa del Sol,2019,,,"Action, Drama, Romance",6.8," Hugo Silva, Álvaro Cervantes, Miki Esparbé, Jesús Castro", 599
1727,Catch and Release,2021– ,,55 min , Thriller,6.0," Mathilde Sofie Henriksen, Jesper Malm, Anitta Suikkari, Bhkie Male", 182
1728,Pushpavalli,2017– ,,22 min ," Short, Comedy, Thriller",7.4," Naveen Richard, Sumukhi Suresh, Manish Anand, Sumaira Shaikh"," 1,623"
1729,Siopilos dromos,2021,,,"Crime, Drama, Mystery",8.0," Penelope Tsilika, Dimitris Lalos, Christos Loulis, Anthi Efstratiadou", 500
1730,Reset,2022,,45 min ," Drama, Sci-Fi, Thriller",8.1," Jingting Bai, Jinmai Zhao, Yijun Liu, Tao Liu", 693
1731,Ultimate Muscle: The Kinnikuman Legacy,2002–2004,TV-Y7 , 30 min ," Comedy, Action, Animation",7.5," Sebastian Arcelus, Wayne Grayson, Madeleine Blaustein, Gregory Abbey", 449
1732,"Policías, en el corazón de la calle",2000–2003,,60 min ," Action, Adventure, Crime",6.8," Adolfo Fernández, Josep Maria Pou, Diego Martín, Laura Pamplona", 172
1733,Robindronath Ekhane Kawkhono Khete Aashenni,2021– ,,,"Crime, Thriller",6.5," Anirban Bhattacharya, Alexx O'Nell, Rahul Bose, Richard Bhakti Klein"," 1,160"
1734,Van God los,2011– ,TV-MA , 50 min , Thriller,7.7," Cees Geel, Erwin Bozzolini, Frank Meijers, Jorik Prins", 477
1735,Psychopath Diary,2019–2020,,75 min ," Comedy, Crime, Mystery",7.7," Yoon Shi-Yoon, In-sun Jung, Sung-Hoon Park, Heo Sung-tae", 596
1736,Detective Karan,2003–2005,,,"Action, Crime, Drama",7.9," Kiran Kumar, Kishore Dang, Vaquar Shaikh, Avinash Wadhawan", 43
1737,Guardian,2018,TV-14 , 45 min ," Drama, Fantasy, Mystery",7.8," Yu Bai, Yilong Zhu, Peng Xin, Yan Li", 591
1738,The XYY Man,1976–1977,,60 min ," Crime, Thriller",7.1," Stephen Yardley, Don Henderson, Vivienne McKee, Dennis Blanch", 46
1739,Orphan Flowers,2015–2018,,140 min ," Crime, Drama, Romance",5.6," Arif Diren, Ipek Karapinar, Özgür Çevik, Biran Damla Yilmaz"," 1,037"
1740,The Day After,2013–2016,,48 min ," Sci-Fi, Thriller",6.4," Philippe Reinhardt, Maria Belonenko, Ivan Makarevich, Dmitriy Endaltsev", 343
1741,Strange Luck,1995–1996,,60 min ," Crime, Drama, Fantasy",8.2," D.B. Sweeney, Pamela Gidley, Cynthia Martells, Frances Fisher", 525
1742,Hackerville,2018,TV-MA , 60 min ," Action, Thriller",7.1," Anna Schumacher, Andi Vasluianu, Voicu Dumitras, Florin Galan"," 1,606"
1743,Digimon Fusion,2013– ,TV-PG ,," Animation, Action, Adventure",6.6," Nicolas Roye, Melissa Fahn, Colleen O'Shaughnessey, Derek Stephen Prince", 570
1744,Astey Ladies,2019– ,,,Thriller,6.6," Sandipta Sen, Saayoni Ghosh, Madhurima Ghosh, Saurav Das", 182
1745,Judge Dredd: Cursed Edge,2013–2016,TV-MA ,," Action, Adventure, Crime",6.1," Kiarnie Camp, Paul Labelle, Steve Eames, Jason Thomson", 98
1746,Apache: The Life of Carlos Tevez,2019,TV-MA ,," Biography, Crime, Drama",7.2," Balthazar Murillo, Vanesa González, Alberto Ajaka, Sofía Gala Castiglione"," 1,668"
1747,Asintado,2018,TV-14 ,," Action, Crime, Drama",7.7," Shaina Magdayao, Julia Montes, Paulo Avelino, Aljur Abrenica", 26
1748,Tera Chhalaava,2022– ,,120 min ," Crime, Drama, Thriller",8.3," Sandeepa Dhar, Vedika Bhandari, Kavita Kaushik, Anveshi Jain", 606
1749,Ein Fall für Zwei: Reloaded,2014– ,,,"Crime, Thriller",6.7," Antoine Monot Jr., Wanja Mues, Thomas Thieme, Christina Hecke", 40
1750,Lookism,2019,,,"Mystery, Romance, Thriller",5.4," Park Solomon, Dada Zhang, Dino Lee, Zixuan Wang", 24
1751,Light Chaser Rescue,2022– ,,,"Action, Drama, Romance",6.5," Janice Wu, Luo Yun Xi", 13
1752,Detective Chinatown,2020,,,"Crime, Drama, Mystery",6.6," Roy Chiu, Yishang Zhang, Janine Chun-Ning Chang, Zhener Wang", 213
1753,Under the Mountain,1981,,24 min ," Family, Sci-Fi, Thriller",8.1," Kirsty Wilkinson, Lance Warren, Roy Leywood, William Johnson", 398
1754,María Marta: El crimen del country,2022– ,,45 min ," Crime, Thriller",6.6," Wayne LeGette, Laura Novoa, Jorge Marrale, Mike Amigorena", 247
1755,Tiflisi,2014–2015,TV-MA ,," Action, History, Thriller",9.0," Kakha Kintsurashvili, Joseph Khvedelidze, Jano Izoria, Archil Makalatia"," 2,375"
1756,OK Computer,2021– ,,240 min ," Comedy, Crime, Mystery",5.5," Vijay Varma, Radhika Apte, Kani Kusruti, Ullas Mohan"," 1,472"
1757,Wish ko lang,2015– ,TV-14 ,," Documentary, Crime, Drama",4.4," Benjamin Alves, Andrew Zobel, Juancho Trivino, Ryza Cenon", 36
1758,Intikam,2013–2014,,90 min ," Drama, Mystery, Thriller",5.9," Beren Saat, Mert Firat, Arzu Gamze Kilinç, Zafer Algöz"," 1,699"
1759,Moscow Noir,2018,,45 min ," Drama, Thriller",6.7," Adam Pålsson, Karolina Gruszka, Linda Zilliacus, Georg Nikoloff"," 1,058"
1760,Detention,2020– ,TV-MA , 50 min ," Drama, Horror, Mystery",6.4," Lee Ling-Wei, Kwang-hoon Na, Chun-Yao Yao, Ning Han", 550
1761,Ankahi Ansuni,2021– ,,,"Horror, Mystery, Thriller",7.3," Aatm Prakash Mishra, Arvind Jangid, Gopal Singh, Chandan Bhardwaj", 303
1762,Samurai Sentai Shinkenger,2009–2010,TV-PG , 25 min ," Action, Adventure, Comedy",8.4," Tôri Matsuzaka, Hiroki Aiba, Shôgo Suzuki, Suzuka Morita", 267
1763,Shoot the Messenger,2016,TV-MA , 93 min ," Crime, Drama, Thriller",6.5," Elyse Levesque, Lucas Bryant, Lyriq Bent, Alex Kingston", 888
1764,Ek Deewaana Tha,2017–2018,,20 min ," Drama, Horror, Romance",7.3," Namik Paul, Donal Bisht, Vikram Singh Chauhan, Ajay Kumar Nain", 148
1765,Cybersix,1999,TV-Y7 ,," Animation, Action, Adventure",7.7," Cathy Weseluck, Michael Dobson, Alex Doduk, Janyse Jaud", 570
1766,Fortunate Son,2020– ,,,"Drama, Thriller",5.5," Kari Matchett, Darren Mann, Stephen Moyer, Rick Roberts", 206
1767,Fareb,2019– ,,20 min , Thriller,6.8," Naghma Akhtar, Mohit", 5
1768,The Leaked,2020– ,,18 min ," Crime, Drama, Thriller",8.0," Korapat Kirdpan, Shinaradee Anupongpichart, Jinjuta Siripeng, Pattarawadee Laosa", 185
1769,Hors Saison,2022– ,,,Thriller,6.7," Marina Hands, Sofiane Zermani, Clarina Sierro, Cyril Metzger", 64
1770,Den fördömde,2010–2013,TV-14 , 90 min ," Crime, Drama, Thriller",6.6," Rolf Lassgård, Tomas Laustiola, Moa Silén, Gunnel Fred", 632
1771,The Fury,2016– ,TV-14 ,," Action, Crime, Drama",7.4," Hynek Cermák, Lukás Príkazký, Alexej Pysko, Lucie Zácková", 230
1772,Tequila & Bonetti,2000– ,,60 min ," Action, Comedy, Crime",5.8," Carrie Barton, Michel Vigné, Fabiana Udenio, Ray Lovelock", 135
1773,Dark World 2: Equilibrium,2013– ,,95 min ," Adventure, Fantasy, Mystery",4.1," Paulina Andreeva, Vlad Robinson, Mariya Pirogova, Pavel Priluchnyy", 650
1774,Sea of Souls,2004–2007,,120 min ," Drama, Fantasy, Mystery",7.4," Bill Paterson, Dawn Steele, Iain Robertson, Louise Irwin", 456
1775,Koombiyo,2017–2018,TV-14 , 20 min ," Crime, Drama, Thriller",9.0," Thumindu Dodantenne, Kalana Gunasekara, Andrew Pulle, Yureni Noshika"," 17,429"
1776,Declassified: Untold Stories of American Spies,2016– ,,42 min , Thriller,8.0," Seth Zielicke, David Ibrahim, Dan Watson, Stephen Lopez", 187
1777,West of Liberty,2019,,261 min ," Drama, Thriller",6.1," Wotan Wilke Möhring, Matthew Marsh, Michelle Meadows, Cara Horgan", 347
1778,Aria: The Scarlet Ammo,2011,TV-14 , 25 min ," Animation, Action, Comedy",6.5," Rie Kugimiya, Junji Majima, Todd Haberkorn, Leah Clark", 722
1779,Corpse Princess: Aka,2008,TV-MA , 24 min ," Animation, Action, Adventure",6.9," J. Michael Tatum, Aaron Dismuke, Luci Christian, Aoi Yûki", 428
1780,Infames,2012,,,"Drama, Thriller",8.4," Thanya López, Vanessa Guzmán, Luis Roberto Guzmán, Miguel Ángel Muñoz", 110
1781,The King of the Cattle,1996–1997,,60 min ," Adventure, Drama, Romance",7.4," Antônio Fagundes, Glória Pires, Patricia Pillar, Fábio Assunção", 666
1782,Born from the Flank: Wilada Min Alkhasira,2011–2013,,,"Action, Crime, Drama",8.6," Kosai Khauli, Mona Wassef, Dana Mardini, Abed Fahd", 534
1783,We Got This,2020,,45 min ," Comedy, Crime, Mystery",6.9," Schiaffino Musarra, Alexander Karim, Anki Larsson, Christian Svensson", 392
1784,Hello Jee,2021– ,,22 min ," Drama, Romance, Thriller",7.4," Nyra Banerjee, Rahul Sharma, Mrinalini Tyagi, Kashish Rai"," 2,966"
1785,Bekaaboo,2019– ,,20 min , Thriller,6.1," Priya Banerjee, Trishna Mukherjee, Rajeev Siddhartha, Madhussneha Upadhyay"," 5,715"
1786,Kommissarie Winter,2010,,58 min ," Crime, Thriller",6.4," Magnus Krepper, Peter Andersson, Amanda Ooms, Sharon Dyall", 221
1787,The Lost Tomb 2,2019,,45 min ," Action, Adventure, Drama",7.7," Yi Cheng, Minghao Hou, Man Li, Xueyi Liu", 64
1788,Captain Simian & The Space Monkeys,1996–1997,,22 min ," Comedy, Family, Sci-Fi",7.5," Jeff Bennett, Jerry Doyle, Karen Maruyama, Maurice LaMarche", 255
1789,.hack//SIGN,2002–2003,TV-14 , 25 min ," Animation, Action, Adventure",6.8," Megumi Toyoguchi, Kazuhiro Nakata, Kaori Nazuka, Amanda Winn Lee"," 1,340"
1790,Attack of the Killer Tomatoes,1990–1991,TV-Y7-FV , 23 min ," Animation, Comedy, Sci-Fi",6.1," John Astin, Christian Guzek, Kath Soucie, Neil Ross", 478
1791,Freaky Stories,1997– ,,,"Animation, Comedy, Fantasy",7.6," James Rankin, Dan Redican, Stephen Brathwaite, Dawn Ford", 474
1792,Scariest Places on Earth,2000– ,TV-PG ,," Horror, Mystery, Reality-TV",7.2," Christopher Chacon, Linda Blair, Zelda Rubinstein, Alan Robson", 483
1793,Flemming,2009–2012,TV-14 ,," Crime, Drama, Thriller",7.2," Samuel Finzi, Claudia Michelsen, Oliver Bröcker, Anna Thalbach", 106
1794,Horror Hotel,2013– ,TV-14 , 120 min ," Comedy, Fantasy, Horror",7.4," Queen Lamia, Lilith Alexandria, John Fecek, Philip Saad", 124
1795,Krim tim 2,2008–2009,,20 min ," Action, Crime, Mystery",5.2," Mislav Brcko, Ivan Primorac, Leon Lucic, Vesna Kozar", 486
1796,Terminator Salvation: The Machinima Series,2009,Not Rated , 14 min ," Animation, Action, Adventure",5.4," Moon Bloodgood, Cam Clarke, Jim Meskimen, Heather Halley", 578
1797,Bubblegum Crisis: Tokyo 2040,1998–1999,TV-MA ,," Animation, Action, Adventure",7.1," Yu Asakawa, Satsuki Yukino, Rio Natsuki, Hiroko Konishi", 852
1798,Flying Tiger,2018– ,,,"Action, Adventure, Crime",7.3," Ron Ng, Lee Pace, Peter McPherson, Jamie B. Chambers", 52
1799,Nasdrovia,2020–2022,,,"Action, Comedy, Drama",6.4," Leonor Watling, Hugo Silva, Luis Bermejo, Anton Yakovlev", 350
1800,Vardaat,2021– ,,,"Comedy, Drama, Thriller",6.8," Keetika, Jashandeep Sran, Mani Kular, Dinesh Kumar", 168
1801,Lobos de mar,2006,,,Thriller,7.8," Carlos Alcántara, Haydeé Cáceres, Jimena Lindo, Aldo Miyashiro", 31
1802,El Mariachi,2014– ,,,"Crime, Thriller",8.1," Marcela Alvarez, Mario Alberto, Gabriela Zamora, Iván Arana", 87
1803,Passengers,2020–2022,,30 min ," Drama, Mystery, Thriller",6.8," Kirill Käro, Sergei Gilev, Anya Chipovskaya, Ekaterina Sokolova-Zhuber", 126
1804,Yu-No: A Girl Who Chants Love at the Bound of this World,2019– ,TV-14 , 25 min ," Animation, Drama, Mystery",6.3," Eric Vale, Sarah Wiedenheft, Dawn M. Bennett, Morgan Laure", 224
1805,Nakarehas na puso,2022– ,TV-14 ,," Crime, Drama, Mystery",4.3," Jean Garcia, Michelle Aldana, Leandro Baldemor, Vaness Del Moral", 15
1806,Tomorrow's Pioneers,2007–2009,,60 min ," Comedy, Drama, Family",2.2," Saraa Barhoum, Mohammad Ramadan, Samir Abu Muhssen, Hazim Al-Sha'arawi", 33
1807,La embajada,2016,,70 min , Thriller,6.4," Belén Rueda, Abel Folk, Amaia Salamanca, Megan Montaner", 394
1808,Smoke,2018–2019,,40 min , Thriller,7.7," Jim Sarbh, Kalki Koechlin, Mandira Bedi, Gulshan Devaiah"," 17,127"
1809,My Virtual Escape,2017–2018,TV-MA , 40 min ," Action, Adventure, Crime",8.2," Jesse Ridgway, Lorenz Abraham, Jeffrey Ridgway, Theresa Ridgway", 135
1810,Paradise Garden,2021,,,Thriller,6.8," Jefri Nichol, Vanesha Prescilla, Yoga Pratama, Agnes Naomi", 76
1811,Kaafir,2019– ,,45 min ," Drama, Thriller",8.2," Dia Mirza, Mohit Raina, Dishita Jain, Dara Sandhu"," 1,569"
1812,Athena: Goddess of War,2010–2011,TV-14 ,," Action, Romance, Thriller",6.4," Jung Woo-sung, Soo Ae, Seung-Won Cha, Ji-Ah Lee", 429
1813,The Next Victim,1995– ,,45 min ," Crime, Drama, Mystery",8.2," José Wilker, Tony Ramos, Susana Vieira, Aracy Balabanian", 433
1814,Churails,2020– ,,60 min ," Drama, Mystery, Thriller",8.2," Sarwat Gilani, Yasra Rizvi, Nimra Bucha, Mehar Bano"," 4,364"
1815,Unsub,1989,,60 min ," Mystery, Thriller",8.1," David Soul, Jennifer Hetrick, Joe Maruzzo, Richard Kind", 140
1816,The Big Bad B-Movie Show,2020– ,,,"Comedy, Drama, Fantasy",7.1," Zachariah Durr, Laura Wimbels, James Harmon, Janet Jay", 12
1817,Big Apple,2001,,60 min ," Crime, Drama, Mystery",7.2," Ed O'Neill, Kim Dickens, Michael Madsen, Jeffrey Pierce", 133
1818,Belíssima,2005–2006,,60 min ," Adventure, Comedy, Crime",6.7," Marcello Antony, Glória Pires, Cláudia Abreu, Tony Ramos", 295
1819,Digimon Data Squad,2006–2008,TV-Y7 ,," Animation, Action, Adventure",6.6," Quinton Flynn, Colleen O'Shaughnessey, Brian Beacock, Crispin Freeman", 870
1820,The Nevermore Chronicles,2014– ,,,"Drama, Mystery, Sci-Fi",5.5," Sara Maraffino, Bill Mendieta, Michael John Lane, Taylor Grzechowiak", 11
1821,Bicchoo Ka Khel,2020– ,,22 min ," Crime, Thriller",7.1," Divyendu Sharma, Anshul Chauhan, Syed Zeeshan Qadri, Mukul Chadda"," 19,483"
1822,"Mirror, Mirror",1995–1998,,30 min ," Adventure, Drama, Family",7.5," Antonia Prebble, Ben Revell, Jovita Lee, Simon James", 603
1823,Al Hayba the Comeback,2018,,45 min ," Action, Drama, Thriller",7.7," Taim Hasan, Mona Wassef, Oweiss Mkhallalati, Nicole Saba", 525
1824,Lupin the Third: The Woman Called Fujiko Mine,2012,TV-MA , 20 min ," Animation, Action, Adventure",7.8," Michelle Ruff, Miyuki Sawashiro, Sonny Strait, Kan'ichi Kurita", 799
1825,Professor T.,2017– ,,,"Crime, Drama, Mystery",6.8," Matthias Matschke, Helgi Schmid, Julia Bremermann, Alexandra von Schwerin", 323
1826,The Blood Lady,2018,,52 min ," Biography, Drama, History",5.7," Marta Kessler, Pyotr Rykov, Yuriy Tsurilo, Igor Yasulovich", 155
1827,Rose Mansion,2022– ,,45 min ," Crime, Mystery, Thriller",7.2," Ji-Yeon Lim, Yoon Kyun-Sang, Jung Ae-ri, Song Bo-eun", 23
1828,Mawaru-Penguindrum,2011,TV-14 ,," Animation, Comedy, Drama",7.4," Monica Rial, Brittney Karbowski, Adam Gibbs, Emily Neves", 878
1829,Avrora,2022,,45 min ," Comedy, Drama, Thriller",6.6," Lena Tronina, Vera Ostrovskaya, Manana Totibadze, Olga Bogomazova", 18
1830,Implacables: Mexico,2022– ,,,Thriller,8.1," Roberto Mateos, Manuel Trotta, Paulina Gaitan, Ana Claudia Talancón", 17
1831,Without Motive,2000– ,TV-14 , 60 min ," Crime, Thriller",7.4," Ross Kemp, Kenneth Cranham, Jamie Foreman, Hazel Ellerby", 215
1832,Seven Days,2019– ,,,"Action, Crime, Drama",6.3," Alexandria Lee, Joel Hogan, John Paul Medrano, Jizhong Zhang", 22
1833,Inside,2018– ,,,"Crime, Mystery, Thriller",6.1," Noémie Schmidt, Hippolyte Girardot, Judith El Zein, Samuel Theis", 124
1834,10i entoli,2004–2015,,45 min ," Crime, Drama, Romance",8.2," Antonis Antoniou, Hristos Tripodis, Giorgos Souxes, Isavela Kogevina"," 1,563"
1835,Omerta 6/12,2022– ,,40 min ," Action, Thriller",6.5," Jasper Pääkkönen, Nanna Blondell, Cathy Belton, Nika Savolainen", 14
1836,La Muchacha Que Limpia,2021– ,,52 min ," Crime, Thriller",6.4," Ana Layevska, Gustavo Sánchez Parra, Ramón Medína, Damayanti Quintanar", 135
1837,Hora marcada,1988–2001,,30 min ," Fantasy, Horror, Mystery",8.0," Frances Ondiviela, Margot Buzali, Roman Echanove, Salvador Garcini", 232
1838,La mujer de Judas,2012,TV-14 , 44 min ," Horror, Thriller",7.5," Anette Michel, Víctor González, Andrea Martí, Géraldine Bazán", 43
1839,Doon Kaand,2022– ,,25 min ," Action, Crime, Thriller",7.2," Garima Agarwal, Donal Bisht, Iqbal Khan, Indraneil Sengupta"," 3,896"
1840,Crackdown,2020– ,,30 min ," Action, Crime, Drama",7.3," Saqib Saleem, Shriya Pilgaonkar, Iqbal Khan, Waluscha D'Souza"," 6,638"
1841,Mar de plástico,2015–2016,,70 min ," Action, Crime, Drama",7.1," Rodolfo Sancho, Pedro Casablanc, Luis Fernández, Nya de la Rubia"," 2,021"
1842,Edge of Desire,2017,,60 min ," Crime, Drama, Family",7.4," Maria Fernanda Cândido, Juliana Paes, Lília Cabral, Isis Valverde", 297
1843,Sahipli,2017,,43 min ," Drama, Horror, Thriller",7.0," Funda Güray, Baran Akbulut, Ferit Kaya, Koray Sahinbas", 813
1844,Hope,2020– ,,25 min ," Drama, Thriller",6.9," Viktoriya Isakova, Aleksandr Kuzmin, Aleksey Morozov, Veronika Kornienko", 98
1845,Return of Ultraman,1971–1972,TV-PG , 30 min ," Action, Adventure, Comedy",8.2," Jirô Dan, Shunsuke Ikeda, Kô Mitsui, Akira Nagoya", 254
1846,Children of Nobody,2018–2019,,30 min ," Crime, Drama, Mystery",7.9," Yi-Kyeong Lee, Kim Seon-a, Gyu-ri Nam, Hak-Yeon Cha", 252
1847,Shades of Darkness,1983–1986,,60 min ," Drama, Fantasy, Horror",7.8," Norma West, Annette Wilkie-Miller, Francesca Annis, Eileen Atkins", 311
1848,Guyver: The Bioboosted Armor,2005–2006,TV-MA , 23 min ," Animation, Action, Adventure",7.8," Luci Christian, Chris Patton, Lowell Bartholomee, Kenji Nojima", 781
1849,Bang Baang,2021– ,,18 min ," Action, Thriller",3.8," Ruhi Singh, Mr. Faisu, Gurpreet Bedi, Amit Jairath"," 9,043"
1850,Jedini izlaz,2021– ,,50 min ," Mystery, Thriller",7.6," Andjelka Prpic, Danica Maksimovic, Janko Popovic Volaric, Ljubomir Bandovic", 682
1851,Don't Look Back: The Legend of Orpheus,2013,,65 min ," Drama, Romance, Thriller",7.5," Nam-gil Kim, Son Ye-jin, Ha Seok-jin, Lee Hanee", 240
1852,Monstervision,1991–2000,,,"Action, Adventure, Comedy",9.3," John Bloom, Renner St. John, Joe Flaherty, Rhonda Shear", 775
1853,Kokkoku,2018,TV-MA , 24 min ," Animation, Drama, Mystery",7.0," Amber Lee Connors, Howard Wang, Marissa Lenti, Carl Masterson", 691
1854,Dark Web,2018– ,,,Thriller,6.3," Saheb Bhattacharjee, Sampurna Lahiri", 81
1855,Table no. 5,2018– ,,,Thriller,7.3," Pitobash, Swanand Kirkire, Namit Das", 32
1856,Killer Instinct,2005–2006,TV-14 , 60 min ," Crime, Drama, Mystery",7.1," Johnny Messner, Chi McBride, Kristin Lehman, Ramon De Ocampo", 620
1857,A Good Man,2020,,50 min ," Drama, Thriller",6.3," Nikita Efremov, Yulia Snigir, Andrey Burkovskiy, Aleksandra Rebenok", 165
1858,The Divide,2014,,44 min ," Drama, Thriller",7.4," Damon Gupton, Marin Ireland, Joe Anderson, Paul Schneider"," 1,929"
1859,Nagin,1998– ,,,Thriller,5.8," Seema Kapoor, Ronit Roy, Nawab Shah, Neelam Sagar", 22
1860,Johnny Staccato,1959–1960,,24 min ," Crime, Drama, Mystery",8.1," John Cassavetes, Eduardo Ciannelli, Dennis Sallas, Frank London", 237
1861,Fingertip,2019– ,,,"Crime, Drama, Thriller",7.5," Rohith Muralidharan, Sunaina, Madhusudhan, Akshara Haasan", 225
1862,The Files of Young Kindaichi,2022– ,,60 min ," Crime, Drama, Mystery",6.8," Shunsuke Michieda, Moka Kamishiraishi, Taisho Iwasaki, Ikki Sawamura", 106
1863,Chespirito,1980–1995,TV-PG , 60 min ," Comedy, Crime, Family",8.2," Roberto Gómez Bolaños, Rubén Aguirre, Florinda Meza, María Antonieta de las Nieves", 583
1864,Parchhayee: Ghost Stories by Ruskin Bond,2019– ,,,"Horror, Thriller",5.3," Sumeet Vyas, Isha Talwar, Anurita Jha, Dibyendu Bhattacharya", 136
1865,Diabolik,1997–2000,,23 min ," Animation, Action, Adventure",7.2," Lawrence Bayne, Megan Fahlenbock, Blanche Ravalec, Pierre-François Pistorio", 453
1866,The Curse of Dracula,1979,TV-PG , 172 min ," Horror, Romance, Thriller",7.6," Michael Nouri, Carol Baxter, Stephen Johnson, Bever-Leigh Banfield", 147
1867,Redrum,2013–2015,TV-PG ,," Crime, Drama, Mystery",6.9," D.C. Goode, Stephen Rashbrook, Brandon Kieffer, Ramel Sherman"," 2,915"
1868,Preso No. 1,2019– ,,,"Action, Crime, Drama",6.6," Erik Hayser, Alejandra Ambrosi, Paulina Matos, Claudio Lafarga", 79
1869,The Frighteners,1972– ,,26 min ," Drama, Horror, Mystery",7.2," Ian Holm, Ian Hendry, Tom Bell, Jennie Linden", 60
1870,La casa al final de la calle,1989,,,"Drama, Horror, Mystery",7.6," Héctor Bonilla, Angélica Aragón, Eduardo Palomo, Leticia Calderón", 17
1871,Classé Secret,2022– ,,,"Action, Drama, Thriller",8.2," Mélissa Désormeaux-Poulin, Patrick Labbé, Mali Corbeil-Gauvreau, Charlotte Bégin", 34
1872,Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,2018–2019,TV-PG , 25 min ," Action, Adventure, Comedy",7.5," Asahi Itou, Shôgo Hama, Haruka Kudo, Kousei Yuuki", 153
1873,Bose: Dead/Alive,2017,TV-MA , 20 min ," Biography, History, Mystery",8.7," Rajkummar Rao, Naveen Kasturia, Edward Sonnenblick, Anna Ador"," 6,636"
1874,Chernobyl: Zone of Exclusion,2014–2017,,48 min ," Sci-Fi, Thriller",7.3," Sergey Romanovich, Valeriya Dmitrieva, Konstantin Davydov, Kristina Kazinskaya", 999
1875,Widows' Web,2022– ,,,"Crime, Drama, Mystery",8.4," Pauline Mendoza, Ashley Ortega, Vaness Del Moral, Bernard Palanca", 15
1876,MalaYerba,2021– ,,,"Drama, Thriller",7.5," María Elisa Camargo, Carolina Gaitan, Juan Pablo Urrego, Sebastian Eslava", 62
1877,Chouriki Sentai Ohranger,1995–1996,TV-PG , 20 min ," Action, Adventure, Comedy",7.3," Masaru Shishindo, Kunio Masaoka, Masashi Gôda, Ayumi Asô", 116
1878,El extraño Retorno de Diana Salazar,1988–1989,,60 min ," Drama, Romance, Thriller",8.3," Lucía Méndez, Alma Muriel, Jorge Martínez, Alejandro Camacho", 99
1879,Mum Bhai,2020– ,,22 min ," Action, Crime, Drama",6.3," Angad Bedi, Sandeepa Dhar, Sameer Dharmadhikari, Sikandar Kher"," 4,068"
1880,Dale Gas,2022– ,,60 min ," Action, Crime, Thriller",7.5," Benny Emmanuel, Renata Vaca, Andrés Delgado, Gerardo Taracena", 70
1881,The Fifth Corner,1992,,60 min ," Mystery, Thriller",2.6," Mark Joy, Julia Nickson, Alex McArthur, Anthony Valentine", 130
1882,Goodbye Mr. Black,2016,,,"Drama, Thriller",7.1," Lee Jin-Wook, Moon Chae-Won, Kang-woo Kim, Yoo In-young", 211
1883,La querida del Centauro,2016–2017,TV-14 , 60 min ," Drama, Thriller",7.3," Humberto Zurita, Michel Brown, Wayne LeGette, Ludwika Paleta", 111
